Title,Company,Location,Salary,Summary
Senior Data Scientist,Zillow,Washington State•Remote,"$127,100 - $203,000 a year","This data can be mined for intelligence on competitive activity.The Customer Integrated Analytics (CIA) team sits at the intersection of Customer analytics,…"
Researcher,Microsoft,"Redmond, WA 98052 (Overlake area)+1 location",,"The team is focused on applying deep learning techniques to solve AI problems such as copilot, question answering, NL2Code and various customer-facing products."
Investigation Specialist,Amazon.com Services LLC,"Bellevue, WA",,"Experience working cross functionally with tech and non-tech teams.Have the ability to research complex use cases that involves multiple customer contacts,…"
Machine Learning Researcher – Adversarial AI,Two Six Technologies,"Tacoma, WA+1 location",,"We've built large-scale data mining and generation pipelines, prototypes to visualize graphs with millions of nodes, and automated systems that detect malware,…"
Finance Manager - Cloud + Artificial Intelligence,Microsoft,"Redmond, WA 98052 (Overlake area)",,Assembles and summarizes data through data mining and business intelligence to structure reports and financial models for decision support.
"Artificial Intelligence, Consultant - Applied Artificial Int...",Deloitte,"Seattle, WA 98104 (Downtown area)",,"Together with the Strategy practice, our Strategy & Analytics portfolio helps clients transform their business by architecting organizational intelligence…"
"Senior Applied Scientist, Alexa Artificial Intelligence",Amazon.com Services LLC,"Seattle, WA",,PhD degree with 4 years of applied research experience or a Masters degree and 6+ years of experience of applied research experience.
"AWS AI/ML Seattle Office Admin Assistant, AWS Artificial Int...","Amazon Web Services, Inc.","Seattle, WA",,High school or equivalent diploma.3+ years of work experience in an administrative/ office management capacity.Experience working with senior leadership.
Principal Researcher,Microsoft,"Bellevue, WA",,"6+ years of research or engineering experience in speech, computer vision, natural language processing, machine learning, optimization, or other subfields of…"
"AI/ML - Chief of Staff, Machine Intelligence",Apple,"Seattle, WA",,The Machine Intelligence team is accelerating the creation of intelligent experiences in every Apple product.
"Senior Data Scientist, Rich Media Experiences",Zillow,Washington State•Remote,"$127,100 - $203,000 a year","Using Computer Vision techniques and AI-powered algorithms, we work across product, research, engineering, and business to enable people to virtually walk…"
Machine Learning Engineer,Zillow,Washington State•Remote,"$132,400 - $211,600 a year",These algorithms and platforms ingest large volumes of data and process it to build and deploy production models at scale that improve the home buying/selling…
"Senior Machine Learning Engineer, NLP",Zillow,"Seattle, WA 98101 (Downtown area)","$157,900 - $252,200 a year","Our team handles machine learning tasks across the multiple business lines including Premier Agent, Shopping, Rentals and Zillow Offers, absorbing significant…"
Senior Data Scientist,Zillow,Washington State•Remote,"$127,100 - $203,000 a year","This data can be mined for intelligence on competitive activity.The Customer Integrated Analytics (CIA) team sits at the intersection of Customer analytics,…"
Fulfillment & Client Engagement Manager,Modjoul,"Seattle, WA","$55,000 - $65,000 a year",The Fulfillment & Client Engagement Manager is a generalist role that will be responsible for providing support to the Modjoul Account Team while maintaining an…
Operations Support Specialist,Shelf Engine,Washington State•Remote,"$50,000 - $62,000 a year","We harness the power of AI to provide real-time, intelligent forecasting and fully automated ordering to food retailers across the United States."
Researcher,Microsoft,"Redmond, WA 98052 (Overlake area)+1 location",,"The team is focused on applying deep learning techniques to solve AI problems such as copilot, question answering, NL2Code and various customer-facing products."
Investigation Specialist,Amazon.com Services LLC,"Bellevue, WA",,"Experience working cross functionally with tech and non-tech teams.Have the ability to research complex use cases that involves multiple customer contacts,…"
Machine Learning Researcher – Adversarial AI,Two Six Technologies,"Tacoma, WA+1 location",,"We've built large-scale data mining and generation pipelines, prototypes to visualize graphs with millions of nodes, and automated systems that detect malware,…"
Finance Manager - Cloud + Artificial Intelligence,Microsoft,"Redmond, WA 98052 (Overlake area)",,Assembles and summarizes data through data mining and business intelligence to structure reports and financial models for decision support.
"Artificial Intelligence, Consultant - Applied Artificial Int...",Deloitte,"Seattle, WA 98104 (Downtown area)",,"Together with the Strategy practice, our Strategy & Analytics portfolio helps clients transform their business by architecting organizational intelligence…"
"Senior Applied Scientist, Alexa Artificial Intelligence",Amazon.com Services LLC,"Seattle, WA",,PhD degree with 4 years of applied research experience or a Masters degree and 6+ years of experience of applied research experience.
"AWS AI/ML Seattle Office Admin Assistant, AWS Artificial Int...","Amazon Web Services, Inc.","Seattle, WA",,High school or equivalent diploma.3+ years of work experience in an administrative/ office management capacity.Experience working with senior leadership.
Principal Researcher,Microsoft,"Bellevue, WA",,"6+ years of research or engineering experience in speech, computer vision, natural language processing, machine learning, optimization, or other subfields of…"
Data Engineer,Trovata,"Olympia, WA•Remote",,"We’re pioneering open banking (direct APIs) for mid-market and enterprise companies to automate cash positions, cash flow analysis, and cash forecasting."
PostgreSQL Database Administrator,Two Barrels,"Tacoma, WA+4 locations•Remote","$110,000 a year","Optimize queries, maintain permissions and networking within our PostgreSQL system.Work with business teams to define requirements and translate to data."
Security Engineer - 2022 (United States),Amazon.com Services LLC,"Seattle, WA","$144,000 a year","Currently working towards a Bachelor’s Degree in computer science, computer engineering, electrical engineering, cybersecurity, information security, or other…"
Product Operations Manager,"Amazon Web Services, Inc.","Seattle, WA•Remote",,"5 + years of experience as a Program, Project, Product, or Operations leader within a technology organization, preferably in the IaaS, PaaS or SaaS space."
Associate Solutions Architect – Early Career 2022 (US),"Amazon Web Services, Inc.","Seattle, WA",,"0-2 years of relevant experience.Associate’s Degree or higher in Computer Science, Computer Engineering, or other related science/technical fields OR…"
AWS Technical Customer Service Associate-Social Media,"Amazon Web Services, Inc.","Seattle, WA",,"1+ years of experience in a fast paced Customer Service environment.In addition to providing support with account and billing related inquiries, we also…"
Lead SDET - Epic Game Store,Epic Games,Washington State•Remote,,The Epic Games Store is developing an innovative platform which provides scalable tools and services to game developers.Passion for all-things QA.
Engineer II - Personalized Curation,Nordstrom Inc,"Seattle, WA",,As an Engineer II you will build and maintain software solutions that provide amazing customer experiences while meeting the needs of the business.
Application Developer (General) Entry Level,Bayer,"Seattle, WA 98104 (Downtown area)",,"The role can take on other automation tasks within the space of security and cloud engineering, that require similar skillsets."
Cloud Intelligence Associate Specialist SA,"Amazon Web Services, Inc.","Seattle, WA","$112,300 - $160,000 a year","BA/BS degree or equivalent.Experience with Microsoft Azure, Google Cloud Platform, or Oracle.Demonstrate strong customer focus, ownership, and the ability…"
Amazon Connect Sales Specialist,"Amazon Web Services, Inc.","Seattle, WA•Remote",,3-5+ years of technology related sales experience.BA/BS degree preferred or equivalent work experience required.Meet or exceed revenue targets.
Data and Applied Scientist 2,Microsoft,"Redmond, WA 98052 (Overlake area)",,"We turn customer satisfaction into a signal as clear and indispensable as usage or performance, develop insights on what drives it, and proactively engage…"
VP of Engineering,Textio,"Seattle, WA 98104•Remote",,"Guide decisions around the long-term technical direction of Textio's architecture.Balance near-term priorities with longer-term bets, exercising strong…"
"Engineer 1, Developer Tools and Security",Nordstrom Inc,"Seattle, WA",,Operate as a self-starter to deliver quality code and solutions on technical projects.Serve as an engineering resource in cross functional team dealing with…
"Senior Product Manager, AWS Documentation","Amazon Web Services, Inc.","Seattle, WA",,"Bachelor's degree in computer science or related field.7+ years experience in product management, program management, or technical product management."
Data Engineer,Trovata,"Olympia, WA•Remote",,"We’re pioneering open banking (direct APIs) for mid-market and enterprise companies to automate cash positions, cash flow analysis, and cash forecasting."
PostgreSQL Database Administrator,Two Barrels,"Tacoma, WA+4 locations•Remote","$110,000 a year","Optimize queries, maintain permissions and networking within our PostgreSQL system.Work with business teams to define requirements and translate to data."
Security Engineer - 2022 (United States),Amazon.com Services LLC,"Seattle, WA+30 locations","$144,000 a year","Currently working towards a Bachelor’s Degree in computer science, computer engineering, electrical engineering, cybersecurity, information security, or other…"
Product Operations Manager,"Amazon Web Services, Inc.","Seattle, WA+16 locations•Remote",,"5 + years of experience as a Program, Project, Product, or Operations leader within a technology organization, preferably in the IaaS, PaaS or SaaS space."
Associate Solutions Architect – Early Career 2022 (US),"Amazon Web Services, Inc.","Seattle, WA+29 locations",,"0-2 years of relevant experience.Associate’s Degree or higher in Computer Science, Computer Engineering, or other related science/technical fields OR…"
AWS Technical Customer Service Associate-Social Media,"Amazon Web Services, Inc.","Seattle, WA+3 locations",,"1+ years of experience in a fast paced Customer Service environment.In addition to providing support with account and billing related inquiries, we also…"
Lead SDET - Epic Game Store,Epic Games,Washington State•Remote,,The Epic Games Store is developing an innovative platform which provides scalable tools and services to game developers.Passion for all-things QA.
Engineer II - Personalized Curation,Nordstrom Inc,"Seattle, WA",,As an Engineer II you will build and maintain software solutions that provide amazing customer experiences while meeting the needs of the business.
Application Developer (General) Entry Level,Bayer,"Seattle, WA 98104 (Downtown area)+1 location",,"The role can take on other automation tasks within the space of security and cloud engineering, that require similar skillsets."
Cloud Intelligence Associate Specialist SA,"Amazon Web Services, Inc.","Seattle, WA+1 location","$112,300 - $160,000 a year","BA/BS degree or equivalent.Experience with Microsoft Azure, Google Cloud Platform, or Oracle.Demonstrate strong customer focus, ownership, and the ability…"
Amazon Connect Sales Specialist,"Amazon Web Services, Inc.","Seattle, WA•Remote",,3-5+ years of technology related sales experience.BA/BS degree preferred or equivalent work experience required.Meet or exceed revenue targets.
Data and Applied Scientist 2,Microsoft,"Redmond, WA 98052 (Overlake area)+2 locations",,"We turn customer satisfaction into a signal as clear and indispensable as usage or performance, develop insights on what drives it, and proactively engage…"
VP of Engineering,Textio,"Seattle, WA 98104•Remote",,"Guide decisions around the long-term technical direction of Textio's architecture.Balance near-term priorities with longer-term bets, exercising strong…"
"Engineer 1, Developer Tools and Security",Nordstrom Inc,"Seattle, WA+1 location",,Operate as a self-starter to deliver quality code and solutions on technical projects.Serve as an engineering resource in cross functional team dealing with…
"Senior Product Manager, AWS Documentation","Amazon Web Services, Inc.","Seattle, WA+94 locations",,"Bachelor's degree in computer science or related field.7+ years experience in product management, program management, or technical product management."
Data Engineer,Trovata,"Olympia, WA•Remote",,"We’re pioneering open banking (direct APIs) for mid-market and enterprise companies to automate cash positions, cash flow analysis, and cash forecasting."
PostgreSQL Database Administrator,Two Barrels,"Tacoma, WA+4 locations•Remote","$110,000 a year","Optimize queries, maintain permissions and networking within our PostgreSQL system.Work with business teams to define requirements and translate to data."
Security Engineer - 2022 (United States),Amazon.com Services LLC,"Seattle, WA+30 locations","$144,000 a year","Currently working towards a Bachelor’s Degree in computer science, computer engineering, electrical engineering, cybersecurity, information security, or other…"
Product Operations Manager,"Amazon Web Services, Inc.","Seattle, WA+16 locations•Remote",,"5 + years of experience as a Program, Project, Product, or Operations leader within a technology organization, preferably in the IaaS, PaaS or SaaS space."
Associate Solutions Architect – Early Career 2022 (US),"Amazon Web Services, Inc.","Seattle, WA+29 locations",,"0-2 years of relevant experience.Associate’s Degree or higher in Computer Science, Computer Engineering, or other related science/technical fields OR…"
