Title,Company,Location,Salary,Summary
Research Scientist - Statistical Learning and Experimentatio...,Facebook,"Bellevue, WA 98005 (Overlake area)+1 location",,"Design and prototype new algorithms, optimization methods, and system architectures with a focus on deep learning (retrieval, ranking, recommender systems),…"
Data Scientist II,Microsoft,"Redmond, WA 98052 (Overlake area)+1 location",,"2+ years experience with key data science areas such as machine learning, deep learning, anomaly detection, predictive analysis, text analysis, exploratory data…"
Machine Learning Scientist (Remote),Foundry,Washington State•Remote,,"2+ years of experience building machine learning models for business application.As a key member of the Foundry tech team, you will be responsible for data…"
"Research Scientist, Deep Learning",ByteDance,"Seattle, WA",,"Solid knowledge and experience with at least one major deep learning framework (e.g. PyTorch, Tensorflow, MXNet, Caffe/Caffe2, PaddlePaddle)."
"Data Scientist, Machine Learning",Carta,"Seattle, WA 98107 (Ballard area)",,"A deep understanding of modern statistical and machine learning models, when to apply them, and how to evaluate their performance."
"Technical Program Manager, Machine Learning",Google,"Seattle, WA (Fremont area)",,"As a Technical Program Manager focused on machine learning, you’ll use your expertise to drive innovation that enables Google’s products to see, hear, and…"
Scientist I - Microscopy Image Analysis & Deep Learning,Allen Institute,"Seattle, WA 98109 (Westlake area)•Temporarily Remote",,Extensive knowledge in machine learning and hands-on experience in developing/implementing deep learning algorithms.Position Type/Expected Hours of Work*.
Data Scientist,Opanga Networks,"Seattle, WA 98164 (Downtown area)",,"Your primary focus will be in applying data mining techniques, doing statistical analysis, and building high quality reports and dashboards integrated with our…"
Data Scientist,American Capital Group,"Bellevue, WA 98005 (Overlake area)",,Utilize automated machine learning platforms and statistical tools to investigate data.Develop simulations to forecast trends and devise insights using data…
Data Scientist,Disney Media & Entertainment Distribution,"Seattle, WA",,Design and develop new predictive models leveraging statistical and machine learning methods to measure and project a user’s engagement with the Disney…
Data Scientist,SAP,"Bellevue, WA 98004 (Downtown area)",,"Design and Run scientific experiments to measure the model run time performance (latency) as well as accuracy, precision and recall."
Staff Data Scientist,Attunely,"Seattle, WA 98101 (Denny Triangle area)•Remote",,Experience with creating machine learning models for use in an economics context.Significant experience extracting insights from large data sets.
Data Scientist (all levels),Shelf Engine,"Seattle, WA",,"Our team works on projects in forecasting, retail, supply chain, Bayesian modeling, machine learning, deep learning, reinforcement learning, causal inference,…"
Data Scientist,Microsoft,"Redmond, WA 98052 (Overlake area)+1 location",,"Experience with data collection and building data pipelines (Hadoop/Spark or COSMOS/Scope).Provide comprehensive analysis of funnel conversion, perform ad-hoc…"
"Graduate Data Science, Analyst I - August 2022 - Seattle",Expedia.com,"Seattle, WA 98119 (Queen Anne area)",,"You'll become a data specialist and the point of contact for data questions and insights.You'll review engagement and conversion trends across the network,…"
Data Scientist,Eworld Solutions,"Tukwila, WA",,"‎Candidate is desired to have knowledge of data visualization frameworks such as D3.js, ChartJS or Tableau.‎‎.‎*Rate: *$80 - $90/hr on W2‎‎."
Machine Learning Engineer: Full Time Opportunities for Stude...,Redfin,"Seattle, WA",,You will work with an experienced group of machine learning engineers and researchers with robust research to production culture.
Data Scientist,Alaska Airlines,"Seattle, WA 98194 (Downtown area)",,"Detailed knowledge and understanding of business intelligence functions, including analytics, data mining, reporting, report conversion, data cleansing, data…"
Associate Data Scientist I,UST Global,"Bellevue, WA",,Build predictive models and machine learning algorithms to analyse large amounts of information to discover trends and patterns.
Senior Data Scientist,NCI Information Systems Inc.,"Fort Lewis, WA",,"Part of a specialized team of highly skilled engineers and data scientists to collect, ingest, process, analyze, visualize, and share data in support the United…"
Data Scientist,ASSURANCE,"Seattle, WA 98155",,"Our team uses a variety of data mining and analysis methods, a variety of data tools, builds and implements models, develops algorithms, and creates simulations…"
Data Scientist,f5,"Seattle, WA",,"3+ year experience in applied mathematics, statistical and quantitative analysis or machine learning.You will collect and clean data from our data lake in…"
Data Scientist,Opanga Networks,"Seattle, WA 98164 (Downtown area)","From $65,000 a year","Your primary focus will be in applying data mining techniques, doing statistical analysis, and building high quality reports and dashboards integrated with our…"
Data Scientist,American Capital Group,"Bellevue, WA 98005 (Overlake area)","$150,000 a year",Utilize automated machine learning platforms and statistical tools to investigate data.Develop simulations to forecast trends and devise insights using data…
Data Scientist,Disney Media & Entertainment Distribution,"Seattle, WA",,Design and develop new predictive models leveraging statistical and machine learning methods to measure and project a user’s engagement with the Disney…
Data Scientist,SAP,"Bellevue, WA 98004 (Downtown area)",,"Design and Run scientific experiments to measure the model run time performance (latency) as well as accuracy, precision and recall."
Staff Data Scientist,Attunely,"Seattle, WA 98101 (Denny Triangle area)•Remote","$180,000 a year",Experience with creating machine learning models for use in an economics context.Significant experience extracting insights from large data sets.
Data Scientist (all levels),Shelf Engine,"Seattle, WA","$110,000 - $175,000 a year","Our team works on projects in forecasting, retail, supply chain, Bayesian modeling, machine learning, deep learning, reinforcement learning, causal inference,…"
Data Scientist,Microsoft,"Redmond, WA 98052 (Overlake area)+1 location",,"Experience with data collection and building data pipelines (Hadoop/Spark or COSMOS/Scope).Provide comprehensive analysis of funnel conversion, perform ad-hoc…"
"Graduate Data Science, Analyst I - August 2022 - Seattle",Expedia.com,"Seattle, WA 98119 (Queen Anne area)",,"You'll become a data specialist and the point of contact for data questions and insights.You'll review engagement and conversion trends across the network,…"
Data Scientist,Eworld Solutions,"Tukwila, WA",Up to $90 an hour,"‎Candidate is desired to have knowledge of data visualization frameworks such as D3.js, ChartJS or Tableau.‎‎.‎*Rate: *$80 - $90/hr on W2‎‎."
Machine Learning Engineer: Full Time Opportunities for Stude...,Redfin,"Seattle, WA",,You will work with an experienced group of machine learning engineers and researchers with robust research to production culture.
Data Scientist,Alaska Airlines,"Seattle, WA 98194 (Downtown area)",,"Detailed knowledge and understanding of business intelligence functions, including analytics, data mining, reporting, report conversion, data cleansing, data…"
Associate Data Scientist I,UST Global,"Bellevue, WA",,Build predictive models and machine learning algorithms to analyse large amounts of information to discover trends and patterns.
Data and Applied Scientist,Microsoft,"Redmond, WA 98052 (Overlake area)+1 location",,"Partner with analysts, data scientists, program managers, data engineers to develop foundational capabilities for generating valuable insights that will…"
Senior Data Scientist,NCI Information Systems Inc.,"Fort Lewis, WA","From $150,000 a year","Part of a specialized team of highly skilled engineers and data scientists to collect, ingest, process, analyze, visualize, and share data in support the United…"
Data Scientist,ASSURANCE,"Seattle, WA 98155",,"Our team uses a variety of data mining and analysis methods, a variety of data tools, builds and implements models, develops algorithms, and creates simulations…"
Data Scientist,Opanga Networks,"Seattle, WA 98164 (Downtown area)",,"Your primary focus will be in applying data mining techniques, doing statistical analysis, and building high quality reports and dashboards integrated with our…"
Data Scientist,American Capital Group,"Bellevue, WA 98005 (Overlake area)",,Utilize automated machine learning platforms and statistical tools to investigate data.Develop simulations to forecast trends and devise insights using data…
Data Scientist,Disney Media & Entertainment Distribution,"Seattle, WA",,Design and develop new predictive models leveraging statistical and machine learning methods to measure and project a user’s engagement with the Disney…
Data Scientist,SAP,"Bellevue, WA 98004 (Downtown area)",,"Design and Run scientific experiments to measure the model run time performance (latency) as well as accuracy, precision and recall."
Staff Data Scientist,Attunely,"Seattle, WA 98101 (Denny Triangle area)•Remote",,Experience with creating machine learning models for use in an economics context.Significant experience extracting insights from large data sets.
Data Scientist (all levels),Shelf Engine,"Seattle, WA",,"Our team works on projects in forecasting, retail, supply chain, Bayesian modeling, machine learning, deep learning, reinforcement learning, causal inference,…"
Data Scientist,Microsoft,"Redmond, WA 98052 (Overlake area)+1 location",,"Experience with data collection and building data pipelines (Hadoop/Spark or COSMOS/Scope).Provide comprehensive analysis of funnel conversion, perform ad-hoc…"
"Graduate Data Science, Analyst I - August 2022 - Seattle",Expedia.com,"Seattle, WA 98119 (Queen Anne area)",,"You'll become a data specialist and the point of contact for data questions and insights.You'll review engagement and conversion trends across the network,…"
Data Scientist,Eworld Solutions,"Tukwila, WA",,"‎Candidate is desired to have knowledge of data visualization frameworks such as D3.js, ChartJS or Tableau.‎‎.‎*Rate: *$80 - $90/hr on W2‎‎."
Machine Learning Engineer: Full Time Opportunities for Stude...,Redfin,"Seattle, WA",,You will work with an experienced group of machine learning engineers and researchers with robust research to production culture.
Data Scientist,Alaska Airlines,"Seattle, WA 98194 (Downtown area)",,"Detailed knowledge and understanding of business intelligence functions, including analytics, data mining, reporting, report conversion, data cleansing, data…"
Associate Data Scientist I,UST Global,"Bellevue, WA",,Build predictive models and machine learning algorithms to analyse large amounts of information to discover trends and patterns.
Senior Data Scientist,NCI Information Systems Inc.,"Fort Lewis, WA",,"Part of a specialized team of highly skilled engineers and data scientists to collect, ingest, process, analyze, visualize, and share data in support the United…"
Data Scientist,ASSURANCE,"Seattle, WA 98155",,"Our team uses a variety of data mining and analysis methods, a variety of data tools, builds and implements models, develops algorithms, and creates simulations…"
Data Scientist,f5,"Seattle, WA",,"3+ year experience in applied mathematics, statistical and quantitative analysis or machine learning.You will collect and clean data from our data lake in…"
Data Scientist,Opanga Networks,"Seattle, WA 98164 (Downtown area)",,"Your primary focus will be in applying data mining techniques, doing statistical analysis, and building high quality reports and dashboards integrated with our…"
Data Scientist,American Capital Group,"Bellevue, WA 98005 (Overlake area)",,Utilize automated machine learning platforms and statistical tools to investigate data.Develop simulations to forecast trends and devise insights using data…
Data Scientist,Disney Media & Entertainment Distribution,"Seattle, WA",,Design and develop new predictive models leveraging statistical and machine learning methods to measure and project a user’s engagement with the Disney…
Data Scientist,SAP,"Bellevue, WA 98004 (Downtown area)",,"Design and Run scientific experiments to measure the model run time performance (latency) as well as accuracy, precision and recall."
Staff Data Scientist,Attunely,"Seattle, WA 98101 (Denny Triangle area)•Remote",,Experience with creating machine learning models for use in an economics context.Significant experience extracting insights from large data sets.
Data Scientist (all levels),Shelf Engine,"Seattle, WA",,"Our team works on projects in forecasting, retail, supply chain, Bayesian modeling, machine learning, deep learning, reinforcement learning, causal inference,…"
Data Scientist,Microsoft,"Redmond, WA 98052 (Overlake area)+1 location",,"Experience with data collection and building data pipelines (Hadoop/Spark or COSMOS/Scope).Provide comprehensive analysis of funnel conversion, perform ad-hoc…"
"Graduate Data Science, Analyst I - August 2022 - Seattle",Expedia.com,"Seattle, WA 98119 (Queen Anne area)",,"You'll become a data specialist and the point of contact for data questions and insights.You'll review engagement and conversion trends across the network,…"
Data Scientist,Eworld Solutions,"Tukwila, WA",,"‎Candidate is desired to have knowledge of data visualization frameworks such as D3.js, ChartJS or Tableau.‎‎.‎*Rate: *$80 - $90/hr on W2‎‎."
Machine Learning Engineer: Full Time Opportunities for Stude...,Redfin,"Seattle, WA",,You will work with an experienced group of machine learning engineers and researchers with robust research to production culture.
Data Scientist,Alaska Airlines,"Seattle, WA 98194 (Downtown area)",,"Detailed knowledge and understanding of business intelligence functions, including analytics, data mining, reporting, report conversion, data cleansing, data…"
Associate Data Scientist I,UST Global,"Bellevue, WA",,Build predictive models and machine learning algorithms to analyse large amounts of information to discover trends and patterns.
Senior Data Scientist,NCI Information Systems Inc.,"Fort Lewis, WA",,"Part of a specialized team of highly skilled engineers and data scientists to collect, ingest, process, analyze, visualize, and share data in support the United…"
Data Scientist,ASSURANCE,"Seattle, WA 98155",,"Our team uses a variety of data mining and analysis methods, a variety of data tools, builds and implements models, develops algorithms, and creates simulations…"
Data Scientist,f5,"Seattle, WA",,"3+ year experience in applied mathematics, statistical and quantitative analysis or machine learning.You will collect and clean data from our data lake in…"
Data Scientist,Disney Media & Entertainment Distribution,"Seattle, WA",,Design and develop new predictive models leveraging statistical and machine learning methods to measure and project a user’s engagement with the Disney…
"Data Scientist, Analytics (University Grad)",Facebook,"Seattle, WA 98109 (South Lake Union area)",,Work closely with Product or Engineering & Operations teams to proactively create rule and manage decisions.Candidates will help own analytics for a particular…
Staff Data Scientist,Attunely,"Seattle, WA 98101 (Denny Triangle area)•Remote","$180,000 a year",Experience with creating machine learning models for use in an economics context.Significant experience extracting insights from large data sets.
Data Scientist (all levels),Shelf Engine,"Seattle, WA","$110,000 - $175,000 a year","Our team works on projects in forecasting, retail, supply chain, Bayesian modeling, machine learning, deep learning, reinforcement learning, causal inference,…"
Data Scientist,SAP,"Bellevue, WA 98004 (Downtown area)",,"Design and Run scientific experiments to measure the model run time performance (latency) as well as accuracy, precision and recall."
"Graduate Data Science, Analyst I - August 2022 - Seattle",Expedia.com,"Seattle, WA 98119 (Queen Anne area)",,"You'll become a data specialist and the point of contact for data questions and insights.You'll review engagement and conversion trends across the network,…"
Data Scientist,Alaska Airlines,"Seattle, WA 98194 (Downtown area)",,"Detailed knowledge and understanding of business intelligence functions, including analytics, data mining, reporting, report conversion, data cleansing, data…"
Data Scientist,f5,"Seattle, WA",,"3+ year experience in applied mathematics, statistical and quantitative analysis or machine learning.You will collect and clean data from our data lake in…"
Data Scientist II,Expedia.com,"Seattle, WA 98119 (Queen Anne area)",,"3 years of data science and/or analytics professional experience translating complex data findings into clear insights through languages such as SQL, R and…"
Data Scientist,American Capital Group,"Bellevue, WA 98005 (Overlake area)","$150,000 a year",Utilize automated machine learning platforms and statistical tools to investigate data.Develop simulations to forecast trends and devise insights using data…
Associate Data Scientist I,UST Global,"Bellevue, WA",,Build predictive models and machine learning algorithms to analyse large amounts of information to discover trends and patterns.
Data and Applied Scientist,Microsoft,"Redmond, WA 98052 (Overlake area)+1 location",,"Partner with analysts, data scientists, program managers, data engineers to develop foundational capabilities for generating valuable insights that will…"
Data Science Engineer,Salesforce,"Seattle, WA+1 location","$82,400 a year",Brainstorming data product ideas with data scientists and engineers to build data products used by hundreds of millions people every day.
Data Scientist,Microsoft,"Redmond, WA 98052 (Overlake area)+1 location",,"Apply full-stack data mining, modeling, experimentation, and statistical techniques to data from multiple sources to identify new patterns, detect analytical…"
Data Scientist,ASSURANCE,"Seattle, WA 98155",,"Our team uses a variety of data mining and analysis methods, a variety of data tools, builds and implements models, develops algorithms, and creates simulations…"
Senior Data Scientist - Ads Optimization,Indeed,"Seattle, WA•Temporarily Remote","$153,000 - $223,000 a year","Expertise in applied machine learning, preferably in advertising, auctions, bidding or pricing systems.Experience running controlled online experiments and…"
Sr. Renewables Python Data Scientist / Quantitative Energy A...,TBC Power & Renewables,"Seattle, WA•Remote","$100,000 - $200,000 a year","Well versed in scientific computing and data analysis libraries in Python (numPy, scipy, Pandas) and use of Python APIs (Tensorflow, Keras, sklearn, PyTorch)."
Data Scientist,Disney Media & Entertainment Distribution,"Seattle, WA",,Design and develop new predictive models leveraging statistical and machine learning methods to measure and project a user’s engagement with the Disney…
"Data Scientist, Analytics (University Grad)",Facebook,"Seattle, WA 98109 (South Lake Union area)",,Work closely with Product or Engineering & Operations teams to proactively create rule and manage decisions.Candidates will help own analytics for a particular…
Staff Data Scientist,Attunely,"Seattle, WA 98101 (Denny Triangle area)•Remote","$180,000 a year",Experience with creating machine learning models for use in an economics context.Significant experience extracting insights from large data sets.
Data Scientist (all levels),Shelf Engine,"Seattle, WA","$110,000 - $175,000 a year","Our team works on projects in forecasting, retail, supply chain, Bayesian modeling, machine learning, deep learning, reinforcement learning, causal inference,…"
Data Scientist,SAP,"Bellevue, WA 98004 (Downtown area)",,"Design and Run scientific experiments to measure the model run time performance (latency) as well as accuracy, precision and recall."
"Graduate Data Science, Analyst I - August 2022 - Seattle",Expedia.com,"Seattle, WA 98119 (Queen Anne area)",,"You'll become a data specialist and the point of contact for data questions and insights.You'll review engagement and conversion trends across the network,…"
Data Scientist,Alaska Airlines,"Seattle, WA 98194 (Downtown area)",,"Detailed knowledge and understanding of business intelligence functions, including analytics, data mining, reporting, report conversion, data cleansing, data…"
Data Scientist,f5,"Seattle, WA",,"3+ year experience in applied mathematics, statistical and quantitative analysis or machine learning.You will collect and clean data from our data lake in…"
Data Scientist II,Expedia.com,"Seattle, WA 98119 (Queen Anne area)",,"3 years of data science and/or analytics professional experience translating complex data findings into clear insights through languages such as SQL, R and…"
Data Scientist,American Capital Group,"Bellevue, WA 98005 (Overlake area)","$150,000 a year",Utilize automated machine learning platforms and statistical tools to investigate data.Develop simulations to forecast trends and devise insights using data…
Associate Data Scientist I,UST Global,"Bellevue, WA",,Build predictive models and machine learning algorithms to analyse large amounts of information to discover trends and patterns.
Data and Applied Scientist,Microsoft,"Redmond, WA 98052 (Overlake area)+1 location",,"Partner with analysts, data scientists, program managers, data engineers to develop foundational capabilities for generating valuable insights that will…"
Data Science Engineer,Salesforce,"Seattle, WA+1 location","$82,400 a year",Brainstorming data product ideas with data scientists and engineers to build data products used by hundreds of millions people every day.
Senior Data Scientist - Ads Optimization,Indeed,"Seattle, WA•Temporarily Remote","$153,000 - $223,000 a year","Expertise in applied machine learning, preferably in advertising, auctions, bidding or pricing systems.Experience running controlled online experiments and…"
Data Scientist,Disney Media & Entertainment Distribution,"Seattle, WA",,Design and develop new predictive models leveraging statistical and machine learning methods to measure and project a user’s engagement with the Disney…
"Data Scientist, Analytics (University Grad)",Facebook,"Seattle, WA 98109 (South Lake Union area)",,Work closely with Product or Engineering & Operations teams to proactively create rule and manage decisions.Candidates will help own analytics for a particular…
Sr. Renewables Python Data Scientist / Quantitative Energy A...,TBC Power & Renewables,"Seattle, WA•Remote","$100,000 - $200,000 a year","Well versed in scientific computing and data analysis libraries in Python (numPy, scipy, Pandas) and use of Python APIs (Tensorflow, Keras, sklearn, PyTorch)."
Staff Data Scientist,Attunely,"Seattle, WA 98101 (Denny Triangle area)•Remote","$180,000 a year",Experience with creating machine learning models for use in an economics context.Significant experience extracting insights from large data sets.
Data Scientist (all levels),Shelf Engine,"Seattle, WA","$110,000 - $175,000 a year","Our team works on projects in forecasting, retail, supply chain, Bayesian modeling, machine learning, deep learning, reinforcement learning, causal inference,…"
Data Scientist,SAP,"Bellevue, WA 98004 (Downtown area)",,"Design and Run scientific experiments to measure the model run time performance (latency) as well as accuracy, precision and recall."
"Graduate Data Science, Analyst I - August 2022 - Seattle",Expedia.com,"Seattle, WA 98119 (Queen Anne area)",,"You'll become a data specialist and the point of contact for data questions and insights.You'll review engagement and conversion trends across the network,…"
Data Scientist,Alaska Airlines,"Seattle, WA 98194 (Downtown area)",,"Detailed knowledge and understanding of business intelligence functions, including analytics, data mining, reporting, report conversion, data cleansing, data…"
Data Scientist,f5,"Seattle, WA",,"3+ year experience in applied mathematics, statistical and quantitative analysis or machine learning.You will collect and clean data from our data lake in…"
Data Scientist II,Expedia.com,"Seattle, WA 98119 (Queen Anne area)",,"3 years of data science and/or analytics professional experience translating complex data findings into clear insights through languages such as SQL, R and…"
Data Scientist,American Capital Group,"Bellevue, WA 98005 (Overlake area)","$150,000 a year",Utilize automated machine learning platforms and statistical tools to investigate data.Develop simulations to forecast trends and devise insights using data…
Associate Data Scientist I,UST Global,"Bellevue, WA",,Build predictive models and machine learning algorithms to analyse large amounts of information to discover trends and patterns.
Data Science Engineer,Salesforce,"Seattle, WA+1 location","$82,400 a year",Brainstorming data product ideas with data scientists and engineers to build data products used by hundreds of millions people every day.
Data Scientist,Microsoft,"Redmond, WA 98052 (Overlake area)+1 location",,"Apply full-stack data mining, modeling, experimentation, and statistical techniques to data from multiple sources to identify new patterns, detect analytical…"
Data Scientist,Disney Media & Entertainment Distribution,"Seattle, WA",,Design and develop new predictive models leveraging statistical and machine learning methods to measure and project a user’s engagement with the Disney…
"Data Scientist, Analytics (University Grad)",Facebook,"Seattle, WA 98109 (South Lake Union area)",,Work closely with Product or Engineering & Operations teams to proactively create rule and manage decisions.Candidates will help own analytics for a particular…
Staff Data Scientist,Attunely,"Seattle, WA 98101 (Denny Triangle area)•Remote","$180,000 a year",Experience with creating machine learning models for use in an economics context.Significant experience extracting insights from large data sets.
Data Scientist (all levels),Shelf Engine,"Seattle, WA","$110,000 - $175,000 a year","Our team works on projects in forecasting, retail, supply chain, Bayesian modeling, machine learning, deep learning, reinforcement learning, causal inference,…"
Data Scientist,SAP,"Bellevue, WA 98004 (Downtown area)",,"Design and Run scientific experiments to measure the model run time performance (latency) as well as accuracy, precision and recall."
"Graduate Data Science, Analyst I - August 2022 - Seattle",Expedia.com,"Seattle, WA 98119 (Queen Anne area)",,"You'll become a data specialist and the point of contact for data questions and insights.You'll review engagement and conversion trends across the network,…"
Data Scientist,Alaska Airlines,"Seattle, WA 98194 (Downtown area)",,"Detailed knowledge and understanding of business intelligence functions, including analytics, data mining, reporting, report conversion, data cleansing, data…"
Data Scientist,f5,"Seattle, WA",,"3+ year experience in applied mathematics, statistical and quantitative analysis or machine learning.You will collect and clean data from our data lake in…"
Data Scientist II,Expedia.com,"Seattle, WA 98119 (Queen Anne area)",,"3 years of data science and/or analytics professional experience translating complex data findings into clear insights through languages such as SQL, R and…"
Data Scientist,American Capital Group,"Bellevue, WA 98005 (Overlake area)","$150,000 a year",Utilize automated machine learning platforms and statistical tools to investigate data.Develop simulations to forecast trends and devise insights using data…
Associate Data Scientist I,UST Global,"Bellevue, WA",,Build predictive models and machine learning algorithms to analyse large amounts of information to discover trends and patterns.
Data and Applied Scientist,Microsoft,"Redmond, WA 98052 (Overlake area)+1 location",,"Partner with analysts, data scientists, program managers, data engineers to develop foundational capabilities for generating valuable insights that will…"
Data Science Engineer,Salesforce,"Seattle, WA+1 location","$82,400 a year",Brainstorming data product ideas with data scientists and engineers to build data products used by hundreds of millions people every day.
Data Scientist,Microsoft,"Redmond, WA 98052 (Overlake area)+1 location",,"Apply full-stack data mining, modeling, experimentation, and statistical techniques to data from multiple sources to identify new patterns, detect analytical…"
Data Scientist,ASSURANCE,"Seattle, WA 98155",,"Our team uses a variety of data mining and analysis methods, a variety of data tools, builds and implements models, develops algorithms, and creates simulations…"
Data Scientist,American Capital Group,"Bellevue, WA 98005 (Overlake area)",,Utilize automated machine learning platforms and statistical tools to investigate data.Develop simulations to forecast trends and devise insights using data…
Data Scientist,Disney Media & Entertainment Distribution,"Seattle, WA",,Design and develop new predictive models leveraging statistical and machine learning methods to measure and project a user’s engagement with the Disney…
Data Scientist,SAP,"Bellevue, WA 98004 (Downtown area)",,"Design and Run scientific experiments to measure the model run time performance (latency) as well as accuracy, precision and recall."
Staff Data Scientist,Attunely,"Seattle, WA 98101 (Denny Triangle area)•Remote",,Experience with creating machine learning models for use in an economics context.Significant experience extracting insights from large data sets.
Data Science Engineer,Salesforce,"Seattle, WA+1 location",,Brainstorming data product ideas with data scientists and engineers to build data products used by hundreds of millions people every day.
"Data Scientist, Analytics (University Grad)",Facebook,"Seattle, WA 98109 (South Lake Union area)",,Work closely with Product or Engineering & Operations teams to proactively create rule and manage decisions.Candidates will help own analytics for a particular…
Senior Data Scientist,SAP,"Bellevue, WA 98004 (Downtown area)",,"Collaborate with other data scientists, product owners, and business/engineering teams to turn data into valuable and actionable insights for our customers."
Data Scientist (all levels),Shelf Engine,"Seattle, WA",,"Our team works on projects in forecasting, retail, supply chain, Bayesian modeling, machine learning, deep learning, reinforcement learning, causal inference,…"
"Graduate Data Science, Analyst I - August 2022 - Seattle",Expedia.com,"Seattle, WA 98119 (Queen Anne area)",,"You'll become a data specialist and the point of contact for data questions and insights.You'll review engagement and conversion trends across the network,…"
Data Scientist,Alaska Airlines,"Seattle, WA 98194 (Downtown area)",,"Detailed knowledge and understanding of business intelligence functions, including analytics, data mining, reporting, report conversion, data cleansing, data…"
Data Scientist,f5,"Seattle, WA",,"3+ year experience in applied mathematics, statistical and quantitative analysis or machine learning.You will collect and clean data from our data lake in…"
Data Collection Specialist - Amazon Astro,Amazon.com Services LLC,"Bellevue, WA",,"1+ year of experience research, data collection, data analysis, utilizing data to drive process and system improvement, and effect quality assurance."
Associate Data Scientist I,UST Global,"Bellevue, WA",,Build predictive models and machine learning algorithms to analyse large amounts of information to discover trends and patterns.
"Data Scientist II, Product Analytics",Expedia.com,"Seattle, WA 98119 (Queen Anne area)",,"Excellent verbal, written and data visualization skills.These are critical functions that serve to let developers and partners easily discover, access and…"
Data Scientist,Microsoft,"Redmond, WA 98052 (Overlake area)+1 location",,"Experience with data collection and building data pipelines (Hadoop/Spark or COSMOS/Scope).Provide comprehensive analysis of funnel conversion, perform ad-hoc…"
Data Scientist,American Capital Group,"Bellevue, WA 98005 (Overlake area)",,Utilize automated machine learning platforms and statistical tools to investigate data.Develop simulations to forecast trends and devise insights using data…
Data Scientist,Disney Media & Entertainment Distribution,"Seattle, WA",,Design and develop new predictive models leveraging statistical and machine learning methods to measure and project a user’s engagement with the Disney…
Data Scientist,SAP,"Bellevue, WA 98004 (Downtown area)",,"Design and Run scientific experiments to measure the model run time performance (latency) as well as accuracy, precision and recall."
Staff Data Scientist,Attunely,"Seattle, WA 98101 (Denny Triangle area)•Remote",,Experience with creating machine learning models for use in an economics context.Significant experience extracting insights from large data sets.
Data Science Engineer,Salesforce,"Seattle, WA+1 location",,Brainstorming data product ideas with data scientists and engineers to build data products used by hundreds of millions people every day.
"Data Scientist, Analytics (University Grad)",Facebook,"Seattle, WA 98109 (South Lake Union area)",,Work closely with Product or Engineering & Operations teams to proactively create rule and manage decisions.Candidates will help own analytics for a particular…
Senior Data Scientist,SAP,"Bellevue, WA 98004 (Downtown area)",,"Collaborate with other data scientists, product owners, and business/engineering teams to turn data into valuable and actionable insights for our customers."
Data Scientist (all levels),Shelf Engine,"Seattle, WA",,"Our team works on projects in forecasting, retail, supply chain, Bayesian modeling, machine learning, deep learning, reinforcement learning, causal inference,…"
"Graduate Data Science, Analyst I - August 2022 - Seattle",Expedia.com,"Seattle, WA 98119 (Queen Anne area)",,"You'll become a data specialist and the point of contact for data questions and insights.You'll review engagement and conversion trends across the network,…"
Data Scientist,Alaska Airlines,"Seattle, WA 98194 (Downtown area)",,"Detailed knowledge and understanding of business intelligence functions, including analytics, data mining, reporting, report conversion, data cleansing, data…"
Data Scientist,f5,"Seattle, WA",,"3+ year experience in applied mathematics, statistical and quantitative analysis or machine learning.You will collect and clean data from our data lake in…"
Data Collection Specialist - Amazon Astro,Amazon.com Services LLC,"Bellevue, WA",,"1+ year of experience research, data collection, data analysis, utilizing data to drive process and system improvement, and effect quality assurance."
Data and Applied Scientist,Microsoft,"Redmond, WA 98052 (Overlake area)+1 location",,"Partner with analysts, data scientists, program managers, data engineers to develop foundational capabilities for generating valuable insights that will…"
Associate Data Scientist I,UST Global,"Bellevue, WA",,Build predictive models and machine learning algorithms to analyse large amounts of information to discover trends and patterns.
"Data Scientist II, Product Analytics",Expedia.com,"Seattle, WA 98119 (Queen Anne area)",,"Excellent verbal, written and data visualization skills.These are critical functions that serve to let developers and partners easily discover, access and…"
Data Scientist,American Capital Group,"Bellevue, WA 98005 (Overlake area)",,Utilize automated machine learning platforms and statistical tools to investigate data.Develop simulations to forecast trends and devise insights using data…
Data Scientist,Disney Media & Entertainment Distribution,"Seattle, WA",,Design and develop new predictive models leveraging statistical and machine learning methods to measure and project a user’s engagement with the Disney…
Data Scientist,SAP,"Bellevue, WA 98004 (Downtown area)",,"Design and Run scientific experiments to measure the model run time performance (latency) as well as accuracy, precision and recall."
Staff Data Scientist,Attunely,"Seattle, WA 98101 (Denny Triangle area)•Remote",,Experience with creating machine learning models for use in an economics context.Significant experience extracting insights from large data sets.
"Data Scientist, Analytics (University Grad)",Facebook,"Seattle, WA 98109 (South Lake Union area)+7 locations",,Work closely with Product or Engineering & Operations teams to proactively create rule and manage decisions.Candidates will help own analytics for a particular…
Senior Data Scientist,SAP,"Bellevue, WA 98004 (Downtown area)",,"Collaborate with other data scientists, product owners, and business/engineering teams to turn data into valuable and actionable insights for our customers."
Data Scientist (all levels),Shelf Engine,"Seattle, WA+2 locations",,"Our team works on projects in forecasting, retail, supply chain, Bayesian modeling, machine learning, deep learning, reinforcement learning, causal inference,…"
Data Scientist,Alaska Airlines,"Seattle, WA 98194 (Downtown area)",,"Detailed knowledge and understanding of business intelligence functions, including analytics, data mining, reporting, report conversion, data cleansing, data…"
